article,user,date,comment,llm_output,weaponised,year,user_type
History of Ukraine,155.246.121.113,2007-11-01T17:57:16Z,,"Added a reference to ""Ukrainian War of Independence"".

Not Weaponised. The addition of a see-also link to the ""Ukrainian War of Independence"" is a factual enhancement that provides context without employing weaponised language or narratives.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,Senzangakhona,2007-09-30T17:52:56Z,,"The change made is the addition of a passage detailing the Mongol sacking of Kiev, including a quote from Papal envoy Giovanni di Plano Carpini describing the destruction and loss of life. 

Weaponised. The added content emphasizes the brutality of the Mongol invasion and the devastation of Kiev, which can be interpreted as a narrative that highlights historical suffering and victimization, potentially serving to evoke sympathy or reinforce a sense of cultural loss in the context of current geopolitical tensions.",Weaponised,2007,Registered
History of Ukraine,MaGioZal,2007-11-03T12:29:06Z,/* Ukraine in World War II */  added map of Ukrainian SSR in 1940.,"Added an image of the Ukrainian SSR in 1940 and rephrased the placement of an existing image of Ukrainians being deported to Nazi Germany for forced labor.

Not Weaponised. The changes made are primarily about adding visual content and do not introduce any politically charged language or narratives that could be considered weaponisation of cultural heritage.",Not Weaponised,2007,Registered
History of Ukraine,Iryna Harpy,2014-04-04T23:24:58Z,/* Kievan Rus' */ Copyedit (minor) - clearer wording,"Changed ""later [[Ukraine]]"" to ""current day [[Ukraine]]"".

Not Weaponised. The change is a minor edit for clarity and does not introduce any weaponised language or narratives.",Not Weaponised,2014,Registered
History of Ukraine,173.163.123.30,2014-07-22T18:30:37Z,/* Ukrainian SSR and World Wars */,"The change made is a rephrasing of the term ""Holodomor"" to ""Golodomor"" in the context of the Soviet famine of 1932–33. 

Weaponised. The term ""Holodomor"" is widely recognized as a specific reference to the man-made famine in Ukraine, emphasizing its deliberate nature and the suffering of Ukrainians. The alternative spelling ""Golodomor"" may be used to downplay or obscure the historical significance and the Ukrainian perspective on this event, which can be seen as an attempt to shift the narrative surrounding this tragic part of cultural heritage.",Weaponised,2014,Anonymous (IP)
History of Ukraine,Jim.henderson,2014-09-10T06:27:09Z,/* Christianization */ [[Siege of Kiev (1240)]] link,"The change made was the addition of a link to the ""Siege of Kiev (1240)"" in the text, specifically in the context of the Mongol sack of Kyiv. 

Weaponised: Not Weaponised. The addition of a link does not inherently alter the narrative or introduce weaponisation of cultural heritage; it simply provides a reference for further information.",Weaponised,2014,Registered
History of Ukraine,Jason M,2004-04-04T03:30:57Z,=Independence=,"Changed ""became an independent state"" to ""declared itself an independent state"".

Not Weaponised. The change is a minor rephrasing that does not introduce any weaponisation terms or narratives related to cultural heritage.",Not Weaponised,2004,Registered
History of Crimea,PLNR,2014-03-04T00:34:33Z,/* Crimea in the Soviet Union: 1922–1991 */ expanded.,"The change made is the addition of a new sentence: ""A large Slavic population influx occurred in the 1930s as a result of the Soviet policy of regional development. With these demographic changes permanently altered the ethnic balance in the region."" 

Weaponised. The addition emphasizes demographic changes and the influx of a Slavic population, which can be interpreted as an attempt to frame the historical narrative in a way that may support claims of cultural or ethnic legitimacy in the region, potentially aligning with narratives used in contemporary geopolitical discussions regarding Crimea.",Weaponised,2014,Registered
History of Crimea,Nickst,2014-03-05T14:16:37Z,{{2014 Crimean crisis}},"Added ""{{Crimea topics}}"" and ""{{2014 Crimean crisis}}"" along with a sorting category for the history of Crimea.

Not Weaponised. The changes appear to be administrative and organizational, adding categories and topics without introducing any specific narrative or language that could be considered weaponizing cultural heritage.",Not Weaponised,2014,Registered
History of Crimea,Iceiggle,2014-03-08T22:23:37Z,"sentence construction, paragraph 3Golden Orde","Changed ""Taurica was eventually renamed by the [[Crimean Tatars, Golden Orde]]"" to ""Taurica was eventually renamed Golden Orde by the [[Crimean Tatars]]"".

Not Weaponised. The change appears to clarify the sentence structure without introducing any politically charged language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised,2014,Registered
History of Crimea,ClueBot NG,2014-03-13T02:17:13Z,"Reverting possible vandalism by [[Special:Contributions/50.54.233.204|50.54.233.204]] to version by Apaleutos25. False positive? [[User:ClueBot NG/FalsePositives|Report it]]. Thanks, [[User:ClueBot NG|ClueBot NG]]. (1742779) (Bot)","Changed the phrasing of the origin of the name ""Crimea"" by removing the phrase ""yo yo yo yo yo whaddupp"".

Not Weaponised: The change corrects a nonsensical phrase without altering the historical context or introducing any weaponised narratives.",Not Weaponised,2014,Bot
History of Crimea,Nomadic Whitt,2014-03-24T22:18:01Z,/* Prehistory */ reference to Neanderthal remains,"The change made is an addition of a reference to ""Neanderthal remains"" in the context of archaeological evidence of human settlement in Crimea.

Weaponised: Not Weaponised. The addition of scientific information about Neanderthal remains does not carry any political or cultural weaponisation implications; it is a neutral enhancement of the article's content.",Weaponised,2014,Registered
History of Crimea,Nomadic Whitt,2014-03-24T23:30:29Z,/* Prehistory */ unsourced material was from the same source as previous sentence,"Removed a sentence about the Last Glacial Maximum and its implications for human settlement in Crimea.

Not Weaponised – The change is a factual edit regarding archaeological and geographical information without any loaded language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised,2014,Registered
History of Crimea,Nomadic Whitt,2014-03-27T04:41:05Z,/* Greek Taurica */ disambiguation,"Changed the reference from ""Chersonesos"" to ""Chersonesus (Crimea)"" in the context of Greek colonization along the Black Sea coast.

Not Weaponised – The change is a clarification of the geographical reference without introducing any politically charged language or narratives.",Not Weaponised,2014,Registered
History of Crimea,Amitchell125,2014-03-25T18:20:23Z,map changed,"Changed the image reference from ""Caffa and Theodoro.PNG"" to ""Caffa and Theodoro 2.svg"".

Not Weaponised. The change is a simple update of an image file and does not contain any language or context that could be interpreted as weaponising cultural heritage.",Not Weaponised,2014,Registered
History of Crimea,Nomadic Whitt,2014-03-27T04:13:21Z,/* Prehistory */ added source,"Added a citation reference to the text regarding the early Iron Age settlement in Crimea.

Not Weaponised. The change is a factual addition of a source reference that does not alter the narrative or introduce any weaponised language.",Not Weaponised,2014,Registered
History of Crimea,46.39.35.86,2014-03-27T18:20:10Z,/* Autonomous Republic within Ukraine */,"Changed the section title from ""Autonomous Republic within Ukraine"" to ""Autonomous Republic within Ukraine 1991-2014"".

Not Weaponised. The change is a straightforward addition of a time frame to the title, which does not inherently carry a political or cultural weaponisation narrative.",Not Weaponised,2014,Anonymous (IP)
History of Crimea,46.39.35.86,2014-03-27T18:20:46Z,/* Autonomous Republic within Ukraine 1991-2014 */,"Changed the heading from ""Autonomous Republic within Ukraine 1991-2014"" to ""Autonomous Republic within Ukraine (1991–2014)"".

Not Weaponised. The change is a minor formatting adjustment that does not introduce any politically charged language or narratives.",Not Weaponised,2014,Anonymous (IP)
History of Crimea,Nomadic Whitt,2014-03-25T13:12:58Z,/* Greek Taurica */,"Change: Added an image reference for Chersonesos in modern Sevastopol.

Weaponised: Not Weaponised. The addition of an image reference does not inherently carry a narrative that weaponizes cultural heritage; it simply enhances the visual representation of the historical context.",Weaponised,2014,Registered
History of Crimea,72.37.249.132,2014-03-27T21:16:26Z,/* Crimean crisis (2014) */,"The change made is the addition of the sentence: ""No country beside Russia has send its official observers to the 'referendum'."" 

Weaponised. This addition emphasizes the lack of international recognition and legitimacy of the referendum, framing it in a way that could be interpreted as undermining the Russian narrative of Crimea's annexation.",Weaponised,2014,Anonymous (IP)
History of Crimea,72.37.249.132,2014-03-27T21:23:16Z,/* Autonomous Republic within Ukraine (1991–Present) */,"Changed the section title from ""Autonomous Republic within Ukraine (1991–2014)"" to ""Autonomous Republic within Ukraine (1991–Present)"".

Not Weaponised. The change reflects a factual update regarding the status of Crimea without employing loaded language or narratives that could be seen as weaponising cultural heritage.",Not Weaponised,2014,Anonymous (IP)
History of Crimea,Dbachmann,2014-04-07T14:52:26Z,/* Autonomous Republic within Ukraine (1991–2014) */,"Changed the caption of an image from ""The former Soviet Union is undergoing a religious revival."" to ""Interior of the Church of the Resurrection of Christ, near Yalta.""

Not Weaponised. The change is a simple rephrasing of the image caption that does not introduce any politically charged language or narratives related to cultural heritage.",Not Weaponised,2014,Registered
History of Crimea,Nomadic Whitt,2014-03-25T13:11:00Z,/* Antiquity */,"Removed a line about the name ""Taurica"" and its historical context, while adding a line about the image of Chersonesos.

Not Weaponised. The changes made are primarily structural and do not introduce any weaponised narratives or terms related to cultural heritage.",Not Weaponised,2014,Registered
History of Crimea,Nomadic Whitt,2014-03-24T23:24:05Z,"/* Prehistory */ found source for quote, but it had been plagarized; paraphrased for copyright requirements","Changed the phrasing of a sentence regarding the environmental conditions during the Last Glacial Maximum in Crimea.

Not Weaponised. The changes made are focused on improving clarity and correcting grammatical issues without introducing any politically charged language or narratives.",Not Weaponised,2014,Registered
History of Crimea,Nomadic Whitt,2014-03-24T23:33:46Z,/* Prehistory */,"The change made in this revision is the addition of a clarification regarding the term ""interstadials"" in the context of the Last Glacial Maximum. The phrase ""the climates was slightly warmer during several brief interstadials"" was modified to ""the climate was slightly warmer during several brief interstadials,"" correcting a grammatical error and enhancing clarity.

Not Weaponised. The change is purely grammatical and does not introduce any politically charged language or narratives related to cultural heritage.",Not Weaponised,2014,Registered
History of Crimea,Nomadic Whitt,2014-03-27T04:14:57Z,"/* top */ ""the"" is unnecessary","Changed the text by removing the word ""the"" from a sentence.

Not Weaponised – The change is a minor grammatical adjustment that does not alter the meaning or introduce any politically charged language.",Not Weaponised,2014,Registered
History of Crimea,Dbachmann,2014-03-26T11:21:47Z,/* Middle  Ages */,"The change made in this revision is the removal of the section titled ""Genoa and Venice"" and the addition of a new section titled ""Mongol invasion and later medieval period."" Additionally, there is a rephrasing of the content related to the Mongol invasions and the Golden Horde.

Weaponised: Not Weaponised. The changes focus on historical events without employing language that promotes a specific narrative or perspective that could be considered weaponisation of cultural heritage.",Weaponised,2014,Registered
History of Crimea,173.70.207.122,2014-03-28T13:42:15Z,/* Crimean crisis (2014) */,"Changed the text to include the phrase ""People were fighting with sticks and dicks.""

Not Weaponised. The change appears to be an informal or crude addition that does not directly invoke weaponisation of cultural heritage or specific narratives related to the conflict. It may reflect a tone shift but does not align with the identified weaponisation terms or narratives.",Not Weaponised,2014,Anonymous (IP)
History of Crimea,Soffredo,2014-03-28T20:24:31Z,/* Crimean crisis (2014) */,"The change made is the rephrasing of the section title from ""Crimean crisis (2014)"" to ""Crimean crisis (2014-Present)"".

Not Weaponised. The change is a simple update to the timeframe of the crisis without introducing any specific narrative or perspective that could be considered weaponisation of cultural heritage.",Not Weaponised,2014,Registered
Alexander II of Russia,217.99.109.240,2004-08-23T10:23:53Z,/* Emancipation of the serfs */,"Changed the phrasing to include specific years for reforms following the emancipation law.

Not Weaponised – The changes made are factual and provide additional context regarding the timeline of reforms without introducing any biased or weaponised language.",Not Weaponised,2004,Anonymous (IP)
Alexander II of Russia,216.170.243.128,2004-09-07T22:33:50Z,,"Changed the text to include a comment about the complexity of language, suggesting that it should be simplified for better understanding by younger audiences.

Weaponised: Not Weaponised. The change reflects a concern for accessibility in language rather than a specific cultural or political narrative.",Weaponised,2004,Anonymous (IP)
Alexander II of Russia,David Crawshaw,2004-08-29T07:36:15Z,clean up image layout,"Changed the image layout for ""Alexander II"" from a floating div to a framed image and added a section titled ""Related article"" with a reference to ""Ems Ukaz"".

Not Weaponised. The changes are purely structural and do not introduce any politically charged language or narratives related to cultural heritage.",Not Weaponised,2004,Registered
History of Ukraine,82.144.200.5,2005-06-17T12:37:29Z,,"Changed ""The first identifiable groups"" to ""The first hehe identifiable groups"".

Not Weaponised. The change appears to be a typographical error (""hehe"") rather than a shift in language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2005,Anonymous (IP)
History of Ukraine,Raedwulf16,2009-01-10T03:49:05Z,/* Kievan Rus’ */ removal of spurious additional material,"Removed a sentence: ""Then there was Maddy, also zoei.""

Not Weaponised. The removal of a sentence does not introduce or reinforce any cultural narratives or weaponisation of heritage; it appears to be a neutral edit aimed at improving the article's clarity.",Not Weaponised,2009,Registered
History of Ukraine,Davidstrauss,2005-02-15T19:26:12Z,"Spelling of ""material""","Changed ""materiel"" to ""material"".

Not Weaponised. The change is a simple spelling correction and does not alter the meaning or introduce any weaponised narratives.",Not Weaponised,2005,Registered
History of Ukraine,DDima,2009-01-26T01:25:54Z,Reverted edits by [[Special:Contributions/72.177.0.223|72.177.0.223]] ([[User talk:72.177.0.223|talk]]) to last version by Raedwulf16,"**Removed a sentence fragment (""Drew was here."")**. 

Not Weaponised. The change is a minor edit that does not alter the narrative or introduce any weaponisation of cultural heritage.",Not Weaponised,2009,Registered
History of Ukraine,DDima,2009-03-10T00:16:29Z,Reverted edits by [[Special:Contributions/68.115.205.118|68.115.205.118]] ([[User talk:68.115.205.118|talk]]) to last version by 67.170.131.58,"The change made in this revision is the removal of the phrase ""Some sharks live on land."" from the text.

Not Weaponised. The removed phrase appears to be an irrelevant or nonsensical addition that does not contribute to the discussion of Ukrainian cultural heritage or historical context.",Not Weaponised,2009,Registered
History of Ukraine,Sinfulcheeze,2009-03-11T01:30:21Z,Added the name of a mentioned individual.,"Change Description: Added the name ""Daviskyimir Zwoboda"" and a note about him changing his last name to the Ukrainian word for ""freedom.""

Weaponised: Not Weaponised. The addition provides historical context without promoting a specific narrative or agenda.",Weaponised,2009,Registered
History of Ukraine,Ismail,2009-03-13T19:49:38Z,,"Changed ""Rukh"" to ""People's Movement of Ukraine|Rukh"".

Not Weaponised. The change clarifies the name of the movement without introducing any politically charged language or narratives.",Not Weaponised,2009,Registered
History of Ukraine,Jason M,2004-04-02T01:24:16Z,=The 20th Century=,"Changed the text by adding a reference to ""Operation Barbarossa"" in the context of the Nazi invasion of the Soviet Union.

Not Weaponised. The addition provides historical context without introducing any weaponised narratives or perspectives.",Not Weaponised,2004,Registered
History of Ukraine,Joy,2004-05-15T16:38:57Z,disambig,"Changed the term ""Ruthenian"" to ""Ruthenians"".

Not Weaponised. The change is a minor correction in terminology without introducing any weaponised narratives or perspectives.",Not Weaponised,2004,Registered
History of Ukraine,Nateji77,2004-02-14T19:37:00Z,copyedit,"The change made in the revision involves rephrasing and clarifying several sentences for improved readability. Specifically, the phrases ""voted for being member of Polish part"" was changed to ""voted for being for membership in the Polish part,"" and ""the foundation of the society is destroyed"" was altered to ""undermined the foundations and stability of society."" Additionally, there were minor grammatical adjustments throughout the text.

Not Weaponised. The changes are primarily editorial and do not introduce or alter any politically charged language or narratives related to cultural heritage.",Not Weaponised,2004,Registered
History of Ukraine,Genyo,2004-03-06T23:24:51Z,,"The change made is a rephrasing of the historical context regarding the conquest and decline of Kiev (Kyiv). Specifically, the term ""razed by [[Mongol]] raiders"" was changed to ""sacked by Russians, Polovtzians and [[Mongol]] raiders,"" and ""Conflict among the feudal lords"" was altered to ""Conflict among the various principalities of Rus'."" 

This revision introduces a more specific attribution of the sacking to ""Russians"" and ""Polovtzians,"" which could imply a narrative that emphasizes Russian involvement in historical conflicts, potentially framing it in a way that could be interpreted as weaponizing cultural heritage.

Weaponised",Weaponised,2004,Registered
2014 pro-Russian unrest in Ukraine,Yulia Romero,2014-03-30T17:02:40Z,"/* 25 March */ By then in Kiev and in 22 of the 24 Oblasts of Ukraine (provinces) the broadcasting of these channels had stopped; in Donetsk Oblast, half of the providers still broadcaster the channels, in Odessa Oblast 81% of the providers still broadcas","Change: Rephrased the context regarding the suspension of broadcasting Russian TV channels in Ukraine, adding details about the status of broadcasting in various Oblasts.

Weaponised: Not Weaponised. The changes provide factual information about broadcasting status without employing weaponisation terms or narratives that could be seen as promoting a specific political agenda.",Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Lvivske,2014-03-31T17:31:54Z,/* 23 March */,"Added a statement about ""Over 100 rallied in Zaporizhia in favor of Russia and Yanukovych.""

Not Weaponised. The addition of this statement reflects a factual account of a rally without employing loaded language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Lvivske,2014-03-31T20:03:57Z,/* Pro-Ukraine counter protests */,"The change made is the addition of information regarding protests in Sumy, Kryvyi Rih, and Poltava, including references to the protests against Russian aggression.

Weaponised: Not Weaponised. The added content provides factual information about protests without employing loaded language or narratives that could be seen as weaponizing cultural heritage.",Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Lvivske,2014-04-06T21:36:17Z,/* 6 April */,"Changed the text by adding a reference link to the end of a paragraph.

Not Weaponised. The addition of a reference link does not inherently alter the narrative or introduce weaponised language; it simply provides additional sourcing for the information presented.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Yulia Romero,2014-04-07T20:18:35Z,/* 7 April */ Around noon about 50 masked men with bats attacked pro-Ukraine demonstrators who responded by throwing bottles at them.<ref>http://www.sq.com.ua/rus/news/obschestvo/07.04.2014/prorossijskie_aktivisty_razognali_miting_evromajdana/</ref>,"Added context about a pro-Russian rally and an incident involving masked men attacking pro-Ukraine demonstrators.

Not Weaponised. The added content provides a factual account of events without employing language that promotes a specific narrative or perspective that could be seen as weaponizing cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Yulia Romero,2014-04-08T17:20:04Z,/* 8 April */ + more in Kharkiv today,"Added a description of a pro-Russian rally and an attempted storming of the RSA building in Kharkiv.

Not Weaponised. The addition of the pro-Russian rally provides context to the events occurring in Kharkiv without employing weaponised language or narratives that could be seen as promoting a specific political agenda.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Knowledgekid87,2014-04-08T23:51:08Z,"Wrong tag, this is for an article header not for an infobox","Changed the tag for ""Greystone Limited (PMC)"" from a disputed status to a non-disputed status.

Not Weaponised – The change appears to be a technical correction regarding the tagging of a reference, without any evident ideological or cultural implications.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Volunteer Marek,2014-04-12T20:30:37Z,/* See also */,"Added ""Gleiwitz incident"" to the ""See also"" section.

Not Weaponised. The addition of the ""Gleiwitz incident"" does not inherently carry a weaponised narrative regarding cultural heritage; it is a historical reference that does not align with the specific terms or perspectives associated with the ongoing conflict.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,188.2.93.233,2014-04-15T02:17:49Z,/* Government building seizures */,"Added a sentence stating that ""Airborne units of the Ukrainian Army 25 VDV division moved on the people side and refused to take orders from the so-called government in Kiev.""

Not Weaponised. The addition describes a military action without employing loaded language or framing that could be interpreted as weaponizing cultural heritage.",Not Weaponised,2014,Anonymous (IP)
2014 pro-Russian unrest in Ukraine,Cathry,2014-04-15T17:44:05Z,/* International reaction */,"Added a section titled ""Government reaction"" that includes information about the prohibition of Russian TV channels in Ukraine due to ""misrepresentations of facts.""

Not Weaponised. The content presents a factual account of a government action without employing loaded language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Ranothil,2014-04-17T18:59:51Z,copy edit,"The change made is the addition of a space before the term ""Russia"" in the phrase ""protest in favour of closer ties with [[Russia|Russia.]]"" and the rephrasing of ""in favour of leaving Ukraine and accession to the [[Russian Federation]]"" to ""in favour of leaving [[Ukraine]] and accession to the [[Russian Federation]]"".

Not Weaponised. The changes appear to be minor copy edits and do not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Lvivske,2014-04-17T21:36:25Z,"/* Pro-Ukraine counter protests */ someone changed the ref, its 10k","Changed the number of participants in the Simferopol protest from 5,000 to 10,000 and updated the reference source.

Not Weaponised. The change appears to be a factual update regarding the number of participants in a protest, without introducing any loaded language or narratives that could be considered weaponisation of cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Lvivske,2014-04-19T05:39:41Z,Reverted 1 edit by [[Special:Contributions/122.166.137.125|122.166.137.125]] ([[User talk:122.166.137.125|talk]]) to last revision by Lvivske. ([[WP:TW|TW]]),"Added a section titled ""Public opinion"" with various statistics regarding support for union with Russia and perceptions of the Euromaidan protests.

Not Weaponised. The added content presents factual polling data without employing loaded language or narratives that could be seen as weaponising cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Mondolkiri1,2014-04-20T13:11:20Z,,"Changed the formatting of ""Pro-Russian protesters"" from bold to regular text.

Not Weaponised. The change is purely a formatting adjustment without any alteration in meaning or introduction of weaponised language.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,RGloucester,2014-04-20T17:27:15Z,/* Public opinion */ correct acronym,"Change: Rephrased the acronym for the Kyiv International Institute of Sociology from ""KISS"" to ""KIIS"".

Not Weaponised. The change is a simple correction of an acronym and does not introduce any politically charged language or narratives related to the cultural heritage context.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,RGloucester,2014-04-21T04:19:26Z,/* Crimea */ add,"Added information about teams from the Organization for Security and Co-operation in Europe meeting local NGOs in western Ukraine regarding internally displaced persons from Crimea.

Not Weaponised. The addition provides factual information about humanitarian efforts without promoting a specific political narrative or agenda.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,RGloucester,2014-04-21T12:42:50Z,/* Attempts at resolution */ add ref and boldify redirect (edited with [[User:ProveIt_GT|ProveIt]]),"Added a reference to the ""Geneva Statement on Ukraine"" and rephrased the description of the meeting's outcome.

Not Weaponised. The changes made are factual and do not employ language that promotes a specific narrative or perspective that could be considered weaponisation of cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Lvivske,2014-04-22T05:42:30Z,/* Pro-Russian activists */,"Changed the section title from ""Pro-Russian activists"" to ""Arrests"" and added specific names of individuals arrested.

Not Weaponised. The change focuses on the legal status of individuals rather than framing them within a cultural or political narrative, which reduces the potential for weaponisation.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Lvivske,2014-04-22T05:46:42Z,/* Russian citizens */,"The change involves the addition of new content, specifically the inclusion of a paragraph detailing the activities of Russian military intelligence operatives in Ukraine, including the mention of GRU Colonel Igor Ivanovich Strielkov and the accusations against him.

Weaponised

Justification: The added content emphasizes the involvement of Russian intelligence in Ukraine, framing it within a narrative of aggression and subversion, which can be seen as part of a broader discourse that weaponizes cultural heritage by portraying Russian actions as a threat to Ukrainian sovereignty and identity.",Weaponised,2014,Registered
History of Ukraine,212.76.39.4,2004-04-18T10:28:24Z,minor tweaks,"The change made in this revision includes the following: ""Rephrased several terms for consistency, including 'Kyiv' instead of 'Kiev', and added brackets around dates.""

**Weaponised**: The revision emphasizes the correct spelling of ""Kyiv,"" which aligns with Ukrainian national identity and cultural heritage. This reflects a sensitivity to the ongoing conflict and the importance of recognizing Ukrainian sovereignty and cultural distinctions.",Weaponised,2004,Anonymous (IP)
History of Ukraine,Mzajac,2005-04-15T20:41:12Z,"/* References */ Anna Reid, Borderland","Added a reference to Anna Reid's book ""Borderland: A Journey Through the History of Ukraine.""

Not Weaponised. The addition of a reference to a historical book does not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised,2005,Registered
History of Ukraine,193.111.250.243,2005-04-30T20:22:08Z,,"Added a link to a city guide related to Kiev, mentioning its association with the Orange Revolution.

Not Weaponised. The addition of a city guide link does not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised,2005,Anonymous (IP)
History of Ukraine,RussBot,2005-06-01T22:49:14Z,Robot-assisted disambiguation: Roman,"Changed ""Roman"" to ""Ancient Rome"" in the context of the article.

Not Weaponised – The change is a clarification of terminology without introducing any politically charged language or narratives.",Not Weaponised,2005,Bot
History of Ukraine,172.202.173.230,2005-07-15T16:00:18Z,/* Post War and Independence */,"Changed ""Ukranian"" to ""Ukrainian"" in two instances.

Not Weaponised. The change is a correction of a spelling error and does not carry any political or cultural implications.",Not Weaponised,2005,Anonymous (IP)
History of Ukraine,Pearle,2005-07-05T03:10:40Z,Moving from Category:Ukrainian_history to Category:History_of_Ukraine,"Changed category from ""Category:Ukrainian_history"" to ""Category:History_of_Ukraine"" and added ""Category:History of Ukraine"".

Not Weaponised. The change appears to be a reclassification of categories for better accuracy and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2005,Registered
History of Ukraine,YurikBot,2005-08-03T06:35:12Z,robot  Adding: pt,"Added links to the Portuguese, Russian, and Ukrainian versions of the article while removing the existing links to the Russian and Ukrainian history pages.

Not Weaponised. The changes are purely structural, involving the addition and removal of language links without any loaded political or cultural narratives.",Not Weaponised,2005,Bot
History of Ukraine,Irpen,2005-08-10T23:18:08Z,/* References */,"The change made in this revision is the addition of two references to the list of sources, specifically: 
1. An online link to ""Abridged History of Ukraine"" at the Library of Congress.
2. A reference to ""Ukraine: Briefly about Her Past and Present"" in the publication ""Welcome to Ukraine"".

Weaponised: Not Weaponised. The additions are neutral references to historical and cultural resources without any loaded language or narratives that could be seen as weaponising cultural heritage.",Weaponised,2005,Registered
History of Ukraine,Irpen,2005-07-15T22:56:38Z,Worked on recent changes by anon to moderate or correct some. The article is now a mess! Sorry,"**Change Description:** Rephrased several sentences for clarity and adjusted the portrayal of Ukrainian and Russian cultural interactions, including the depiction of Ukrainian identity and the impact of Austrian rule.

**Analysis:** The revision includes a shift in language that emphasizes the complexity of Ukrainian identity and the historical context of cultural oppression. Phrases like ""many Ukrainians accepted their fate in the Russian Empire and some were to achieve a great success there"" suggest a more nuanced view of Ukrainian experiences under Russian rule, which could be interpreted as an attempt to downplay the negative aspects of that rule. Additionally, the mention of ""Ukrainian Insurgent Army"" and the context of their actions against Polish populations introduces a contentious narrative that could be seen as weaponizing historical grievances.

**Conclusion:** Weaponised. The changes reflect a potential manipulation of historical narratives that could serve to justify contemporary political positions or grievances, particularly in the context of Ukrainian and Russian relations.",Weaponised,2005,Registered
History of Ukraine,195.68.232.103,2005-08-28T18:43:34Z,/* The Commonwealth */,"Changed ""many Ukrainian nobles"" to ""most of Ukrainian nobles"".

Not Weaponised. The change is a minor adjustment in wording that does not introduce any weaponised narratives or perspectives related to cultural heritage.",Not Weaponised,2005,Anonymous (IP)
History of Ukraine,213.138.112.22,2005-09-03T23:33:55Z,,"Added ""Crimean Khanate"" to the list of historical topics.

Not Weaponised. The addition of ""Crimean Khanate"" is a neutral historical reference and does not imply any political or cultural bias.",Not Weaponised,2005,Anonymous (IP)
History of Ukraine,AndriyK,2005-10-20T06:54:59Z,/* Early prehistory */,"Changed ""Chernyakhov culture"" to ""Chernyakhiv culture"".

Not Weaponised. The change is a correction of a cultural term without any political or ideological implications.",Not Weaponised,2005,Registered
History of Ukraine,Horloriz,2005-09-06T01:44:06Z,/* Kyivan Rus’ */,"Changed ""Kievan Rus’"" to ""Kyivan Rus’"" and ""Kiev"" to ""Kyiv"" throughout the text.

Not Weaponised. The changes reflect a standardization of the spelling of Ukrainian place names, aligning with contemporary Ukrainian language practices, rather than promoting a specific political narrative.",Not Weaponised,2005,Registered
History of Ukraine,Andrew Alexander,2005-10-23T09:39:07Z,,"Changed ""Chernyakhov culture"" to ""Chernyakhiv culture"".

Not Weaponised. The change is a correction of a term without any political or cultural implications.",Not Weaponised,2005,Registered
History of Ukraine,134.176.66.174,2005-10-29T12:53:23Z,/* The 20th century */,"The change made is the addition of the phrase ""especially in [[Wolynmia]]. After 1944 the surviving Polish Population was expelled."" 

This addition provides specific details about the actions taken against the Polish population during and after the conflict, which could be interpreted as emphasizing a narrative of ethnic cleansing or violence against a particular group.

Weaponised",Weaponised,2005,Anonymous (IP)
